Time stamp,X-axis reading,Y-axis reading,Z-axis reading,labels
431,1886,2387,2027,7
432,1897,2384,2006,7
433,1974,2379,2112,1
434,1976,2379,2119,1
435,1961,2377,2110,1
436,1966,2364,2134,1
437,1871,2383,2004,7
438,1925,2388,1999,7
439,1836,2291,2095,4
440,1966,2371,2122,1
441,1978,2363,2148,1
442,1908,2392,2018,4
443,1970,2371,2121,1
444,1915,2331,2031,4
445,1877,2381,1979,7
446,1973,2374,2120,1
447,1863,2405,2064,4
448,1872,2377,2003,7
449,1877,2384,2005,7
450,1917,2389,2018,7
451,1854,2424,2110,4
452,1892,2401,1998,3
453,1889,2380,1999,7
454,1909,2383,1987,7
455,1923,2381,2055,7
456,1937,2407,2081,5
457,1970,2373,2115,1
458,1986,2366,2133,1
459,1967,2316,2065,5
460,1931,2474,2073,4
461,1982,2372,2122,1
462,1990,2408,2109,7
463,1912,2385,1988,7
464,1971,2379,2119,1
465,1889,2328,1974,4
466,1909,2281,2037,4
467,1899,2403,2003,7
468,1973,2372,2127,1
469,1909,2385,1973,7
470,1977,2375,2119,1
471,1887,2388,2016,7
472,1956,2382,2112,1
473,1953,2379,2091,1
474,1882,2383,2001,7
475,1883,2332,1993,4
476,1907,2387,1977,7
477,1981,2375,2124,1
478,1907,2381,1961,7
479,1872,2380,1975,3
480,1906,2393,1998,7
481,1829,2535,2083,4
482,1919,2381,1974,7
483,1955,2379,2121,1
484,1894,2389,2024,4
485,1987,2357,2159,1
486,1962,2381,2088,1
487,1892,2383,1981,7
488,1925,2386,2075,7
489,1931,2379,2073,7
490,1967,2379,2099,1
491,1967,2370,2129,1
492,1954,2375,2113,1
493,1875,2373,2080,7
494,1891,2310,2061,4
495,1881,2381,1992,7
496,2028,2320,2218,5
497,1901,2387,2005,7
498,1887,2374,2094,7
499,1965,2391,2082,7
500,1901,2389,2003,5
501,1949,2409,2007,7
502,1869,2309,2023,4
503,1887,2386,2011,7
504,1877,2403,2114,4
505,1905,2383,1963,7
506,1871,2354,2087,7
507,1903,2383,1970,7
508,2007,2369,2160,4
509,1889,2385,1989,7
510,1904,2348,1997,4
511,1888,2294,2031,4
512,1893,2387,2001,7
513,1906,2384,1994,7
514,1895,2377,1955,7
515,1975,2377,2104,1
516,1876,2374,1965,6
517,1877,2369,2067,7
518,1893,2458,2043,4
519,1907,2383,1978,7
520,1877,2383,2005,3
521,1862,2577,2157,4
522,1873,2419,2080,5
523,1884,2298,2002,4
524,1971,2378,2124,1
525,1881,2382,1966,3
526,1914,2387,2010,7
527,1935,2361,2119,1
528,1971,2368,2127,1
529,1911,2382,1988,7
530,1959,2373,2118,1
531,1865,2285,2011,4
532,1900,2386,1991,7
533,1871,2380,2007,7
534,1885,2383,2033,7
535,1877,2274,2041,4
536,1960,2380,2116,1
537,1970,2373,2123,1
538,1919,2394,2004,7
539,1874,2378,1977,3
540,1839,2591,2043,4
541,1965,2378,2109,1
542,1899,2378,2087,7
543,1881,2383,2035,7
544,1885,2381,2005,7
545,1903,2384,1963,7
546,1779,2461,2043,4
547,1903,2386,2033,3
548,1843,2425,2118,4
549,1967,2384,2103,1
550,1906,2387,1981,7
551,1952,2378,2125,1
552,1906,2387,1985,7
553,1871,2379,1969,6
554,1884,2269,2010,4
555,1894,2287,2039,4
556,1906,2385,1975,7
557,1960,2379,2118,1
558,1909,2388,1976,7
559,1834,2350,2115,2
560,1974,2376,2126,1
561,1911,2385,1974,7
562,1900,2385,1973,7
563,1892,2377,1913,5
564,1894,2383,1990,7
565,1952,2382,2116,1
566,1957,2377,2115,1
567,1897,2377,1964,7
568,1895,2378,1965,7
569,1858,2371,2165,5
570,1749,2477,2016,4
571,1961,2370,2131,1
572,1879,2353,1942,5
573,1911,2386,1969,7
574,1927,2387,1986,7
575,1951,2363,2123,1
576,1962,2377,2115,1
577,1879,2385,1993,3
578,1907,2390,1978,7
579,1903,2385,2075,7
580,1841,2429,2064,4
581,1910,2387,2014,7
582,1961,2381,2110,1
583,1962,2350,2161,1
584,1874,2381,2010,7
585,1970,2375,2122,1
586,1901,2385,2038,3
587,1893,2497,2023,4
588,1952,2332,1982,7
589,1875,2477,2037,4
590,1972,2381,2111,1
591,1846,2374,2026,4
592,1970,2374,2144,1
593,1875,2378,1967,6
594,1886,2382,1989,7
595,1879,2382,1988,7
596,1895,2380,2002,7
597,1869,2380,1964,3
598,1972,2375,2127,1
599,1896,2390,2055,7
600,1912,2387,1995,7
601,1901,2382,2023,7
602,1913,2392,1984,7
603,1870,2347,2118,4
604,1903,2386,2005,7
605,1901,2360,2043,7
606,1954,2379,2112,1
607,1901,2384,2011,7
608,1969,2375,2126,1
609,1897,2371,2089,7
610,1896,2385,1999,7
611,1866,2343,2088,4
612,1985,2364,2118,7
613,1925,2386,2054,7
614,1883,2378,1981,3
615,1909,2391,2006,7
616,1893,2383,2001,7
617,1978,2371,2120,1
618,1903,2381,1971,7
619,1960,2407,2138,1
620,1914,2385,1976,7
621,1963,2382,2108,1
622,1860,2368,1991,7
623,1911,2385,2020,7
624,1969,2381,2101,1
625,1955,2391,2074,7
626,1893,2379,2066,7
627,1914,2386,1983,7
628,1875,2386,1992,3
629,1890,2431,2031,4
630,1875,2412,2031,4
631,1900,2382,1966,7
632,1979,2376,2131,1
633,1959,2371,2104,1
634,1889,2383,2031,3
635,1883,2382,1993,7
636,1917,2387,2002,7
637,1975,2366,2153,1
638,1982,2368,2129,1
639,1977,2371,2123,1
640,1890,2519,2024,4
641,1882,2382,1994,7
642,1887,2380,1986,7
643,1873,2298,2020,4
644,1906,2382,1981,7
645,1879,2297,2043,4
646,1868,2328,2057,4
647,1920,2387,1977,7
648,1895,2381,2005,7
649,1831,2333,2065,4
650,1877,2383,2013,7
651,1969,2361,2143,1
652,1972,2374,2121,1
653,1893,2378,2103,7
654,1957,2373,2113,1
655,1974,2379,2125,1
656,1871,2403,1976,7
657,1875,2296,2002,4
658,1973,2371,2124,1
659,1900,2384,2002,5
660,1892,2335,2100,7
661,1907,2289,2043,4
662,1908,2385,1994,7
663,1923,2376,2086,7
664,1862,2577,2158,4
665,1900,2381,1971,7
666,1906,2387,1987,7
667,1917,2387,1996,7
668,1907,2335,1998,3
669,1890,2498,2074,4
670,1912,2388,1983,7
671,1971,2323,2071,5
672,1969,2373,2113,1
673,1901,2443,2031,4
674,1939,2369,2160,1
675,1920,2390,1983,7
676,1891,2280,2016,4
677,1886,2381,2004,7
678,1913,2446,2039,5
679,1933,2349,1991,7
680,1898,2374,2068,7
681,1889,2389,2022,7
682,1892,2381,1988,7
683,1930,2389,2048,7
684,1910,2357,2140,2
685,1877,2377,1971,7
686,1914,2359,1992,7
687,1905,2386,1996,7
688,1916,2395,2040,7
689,1907,2381,1967,7
690,1896,2386,1987,7
691,1939,2375,2000,6
692,1972,2371,2127,1
693,1972,2379,2122,1
694,1908,2382,1963,7
695,1881,2404,2086,4
696,1888,2384,2005,7
697,1880,2378,1988,7
698,1977,2378,2120,1
699,1905,2381,1991,7
700,1929,2539,1917,6
701,1878,2403,2132,4
702,1869,2380,2002,7
703,1899,2381,2075,7
704,1845,2391,2089,4
705,1967,2379,2121,1
706,1877,2294,2026,4
707,1866,2371,2069,7
708,2049,2349,2253,1
709,1899,2397,2058,7
710,1875,2380,2010,7
711,1533,2049,2034,1
712,1905,2382,2009,3
713,1903,2387,2086,7
714,1867,2378,1980,7
715,1912,2389,1988,7
716,1911,2385,1984,7
717,1910,2387,1993,7
718,1901,2386,1988,7
719,1879,2383,2010,7
720,2050,2342,2253,1
721,1966,2379,2107,1
722,1907,2387,1975,7
723,1902,2303,2022,4
724,1867,2382,2006,7
725,2006,2360,2106,4
726,1896,2374,1991,7
727,1889,2387,2000,7
728,1921,2372,2117,7
729,1874,2379,1990,7
730,1887,2378,1975,7
731,1891,2371,2016,7
732,1968,2371,2125,1
733,1882,2380,1966,7
734,1881,2383,1970,7
735,1964,2366,2142,1
736,1878,2300,2047,4
737,1909,2388,1991,7
738,1915,2306,2012,4
739,1839,2374,2016,4
740,1911,2297,2044,4
741,1869,2379,2004,7
742,1914,2385,1980,7
743,1908,2384,1978,7
744,1877,2379,1970,7
745,1906,2388,2021,7
746,1896,2389,1996,7
747,1883,2403,2007,4
748,1911,2390,1980,7
749,1922,2291,2034,4
750,1911,2425,2048,4
751,1971,2375,2107,1
752,1913,2382,1982,7
753,1877,2377,2011,7
754,1880,2271,2106,6
755,1901,2381,1976,7
756,1907,2388,1997,7
757,1940,2375,2008,6
758,1933,2389,1994,7
759,1826,2498,2059,4
760,1907,2377,2024,4
761,1914,2390,1989,7
762,1986,2357,2080,4
763,1913,2385,1971,7
764,1891,2368,1997,7
765,1874,2320,2043,4
766,1914,2381,1971,7
767,1958,2380,2111,1
768,1807,2587,2098,4
769,1936,2256,2065,5
770,1879,2383,1994,7
771,1898,2386,1983,7
772,1917,2374,2033,7
773,1935,2386,2078,7
774,1869,2381,2011,7
775,1891,2379,2079,7
776,1871,2462,1964,4
777,1971,2375,2116,1
778,2015,2383,2123,4
779,1903,2382,1967,7
780,1939,2402,2034,7
781,1967,2371,2141,1
782,1927,2283,2030,6
783,1872,2376,1975,3
784,1893,2338,2027,4
785,1955,2379,2111,1
786,1985,2373,2127,1
787,1914,2391,2013,7
788,1964,2373,2120,1
789,1872,2330,2026,4
790,1958,2378,2121,1
791,1928,2383,2075,7
792,1931,2359,2092,7
793,1979,2379,2115,1
794,1926,2400,2042,3
795,1887,2379,1993,3
796,1838,2425,1994,4
797,1907,2390,1992,7
798,1866,2398,2039,4
799,1900,2386,2015,3
800,1892,2504,2031,4
801,1911,2385,2061,7
802,1968,2376,2122,1
803,1976,2365,2155,1
804,1913,2379,1964,7
805,1867,2350,2074,4
806,1894,2388,1996,7
807,1870,2383,2011,7
808,1894,2385,1992,7
809,1898,2377,2089,7
810,1838,2388,2088,4
811,1892,2385,2003,7
812,1959,2374,2109,1
813,1980,2379,2130,1
814,1907,2386,1980,7
815,1845,2396,2049,4
816,1819,2543,2128,4
817,1880,2308,1995,4
818,1905,2388,1966,7
819,1896,2316,1967,6
820,1888,2383,1986,7
821,1929,2383,2068,7
822,1856,2338,1990,6
823,1871,2383,2058,2
824,1986,2378,2129,1
825,1888,2382,1988,7
826,1975,2379,2124,1
827,1959,2375,2117,1
828,1924,2388,2011,7
829,1874,2374,1971,7
830,1927,2383,2055,7
831,1888,2389,2005,3
832,1920,2366,2045,7
833,1974,2373,2125,1
834,1891,2384,1988,7
835,1878,2347,2008,7
836,1903,2391,1969,7
837,1989,2369,2148,1
838,1896,2374,1964,7
839,1965,2376,2118,1
840,1871,2379,1980,3
841,1972,2364,2141,1
842,1940,2386,2085,1
843,1910,2386,1995,7
844,1883,2247,2009,4
845,1869,2380,2009,7
846,1953,2376,2112,1
847,1912,2386,1990,7
848,1891,2388,1991,7
849,2115,2311,1942,1
850,1887,2379,2003,7
851,1900,2387,1998,7
852,1969,2374,2133,1
853,1910,2381,2068,7
854,1909,2382,1983,7
855,1902,2382,1986,7
856,1923,2399,1987,7
857,1876,2376,1992,3
858,1883,2380,1999,7
859,1957,2382,2087,1
860,1892,2386,1999,7
861,1966,2379,2113,1
862,1867,2343,2138,2
863,1871,2366,2063,7
864,1911,2389,1965,7
865,1893,2391,2029,3
866,1958,2380,2125,1
867,1948,2369,2095,1
868,1972,2379,2122,1
869,1891,2363,2108,7
870,1911,2384,1977,7
871,1966,2385,2103,1
872,1915,2387,1978,7
873,1887,2383,1999,7
874,1954,2304,2066,5
875,1907,2387,1993,7
876,1966,2375,2117,1
877,1967,2374,2127,1
878,1892,2378,2033,3
879,1914,2393,2031,7
880,1964,2373,2117,1
881,1818,2390,2046,4
882,1911,2380,1995,7
883,1973,2367,2132,1
884,1882,2393,1962,7
885,1983,2370,2124,1
886,1895,2377,1967,7
887,1897,2386,1986,3
888,1891,2384,1999,7
889,1898,2486,2015,4
890,1959,2380,2108,1
891,1977,2370,2124,1
892,1864,2328,2043,3
893,1974,2374,2127,1
894,1923,2388,2021,7
895,1972,2376,2120,1
896,1911,2383,1966,7
897,1930,2391,2006,7
898,1955,2376,2106,1
899,1882,2385,1986,7
900,1972,2375,2120,1
901,1908,2387,2035,3
902,1908,2384,1973,7
903,1971,2372,2119,1
904,1883,2377,2013,7
905,1903,2387,2012,7
906,1938,2259,2051,4
907,1973,2378,2114,1
908,1887,2381,2002,3
909,1871,2378,1993,7
910,1902,2387,1995,7
911,1893,2371,2099,7
912,1992,2378,2139,1
913,1959,2348,2229,5
914,1924,2294,2011,4
915,1905,2391,1991,7
916,1893,2377,1974,3
917,1920,2384,1995,7
918,1900,2313,2048,3
919,1874,2285,1966,4
920,1875,2376,2003,7
921,1864,2380,2004,7
922,1869,2377,1993,7
923,1985,2361,2147,1
924,1841,2536,2083,4
925,1902,2358,2045,4
926,1909,2390,1995,7
927,1970,2377,2121,1
928,1967,2380,2094,1
929,1917,2388,1991,7
930,1896,2381,1963,7
931,1886,2381,1983,7
932,1904,2384,1967,7
933,1925,2389,2026,7
934,1885,2382,1974,7
935,1889,2381,2010,7
936,1911,2386,1989,7
937,1922,2372,2051,7
938,1936,2371,2153,1
939,1913,2334,1985,7
940,1968,2368,2132,1
941,1915,2386,2016,7
942,1853,2420,2070,4
943,1911,2385,1983,7
944,1896,2298,2043,4
945,1909,2382,1966,7
946,1907,2381,1972,7
947,1890,2379,1998,7
948,1896,2383,1960,7
949,1972,2371,2122,1
950,1886,2379,2004,7
951,1970,2373,2117,1
952,1894,2383,2030,3
953,1886,2385,2023,7
954,1964,2371,2132,1
955,1875,2377,1974,7
956,1927,2377,2104,7
957,1901,2386,2019,7
958,1909,2390,1995,7
959,1875,2379,2006,7
960,1902,2375,2098,7
961,1958,2375,2112,1
962,1884,2380,2108,7
963,1893,2380,1985,7
964,1903,2284,2024,4
965,1964,2377,2118,1
966,1933,2256,2069,5
967,1918,2368,1982,6
968,1912,2384,2008,7
969,1974,2371,2129,1
970,1908,2399,2011,5
971,1880,2381,1991,7
972,1974,2377,2121,1
973,1906,2383,1991,7
974,1891,2386,2009,7
975,1896,2387,2035,3
976,1924,2373,2111,7
977,1893,2385,1993,7
978,1969,2371,2135,1
979,1962,2379,2109,1
980,1958,2382,2094,1
981,1914,2385,1995,7
982,1868,2374,2004,7
983,1889,2287,2013,4
984,1839,2333,2086,4
985,1875,2378,1992,7
986,1933,2383,1991,7
987,1909,2386,1967,7
988,1878,2305,2195,5
989,1964,2378,2106,1
990,1954,2377,2117,1
991,1889,2374,2024,7
992,1851,2368,1978,4
993,1897,2379,2023,3
994,1971,2374,2120,1
995,1875,2380,2008,7
996,1986,2383,2151,4
997,1907,2389,1987,7
998,1969,2365,2139,1
999,1893,2320,2026,4
1000,1848,2592,2042,4
1001,1940,2379,2100,1
1002,1900,2387,1974,7
1003,1885,2286,2031,4
1004,1902,2375,2031,7
1005,1970,2367,2135,1
1006,1863,2423,2006,4
1007,2004,2354,2105,4
1008,1824,2440,1988,4
1009,1910,2391,1982,7
1010,1977,2373,2124,1
1011,1957,2384,2106,1
1012,1961,2384,2096,1
1013,1872,2380,2010,7
1014,1988,2532,2304,5
1015,1870,2361,2131,4
1016,1902,2379,1966,7
1017,1974,2368,2137,1
1018,1956,2378,2110,1
1019,1975,2401,2017,7
1020,1940,2372,2106,1
1021,1836,2493,2033,4
1022,1933,2324,2076,4
1023,1909,2387,1997,7
1024,1915,2387,2031,7
1025,1951,2373,2111,1
1026,1904,2382,2014,4
1027,1920,2381,1993,7
1028,1963,2377,2116,1
1029,1884,2373,1949,7
1030,1900,2389,2006,7
1031,1909,2383,1986,7
1032,1875,2381,1992,7
1033,1929,2384,2065,7
1034,1873,2374,2103,4
1035,1867,2408,2039,7
1036,1895,2341,1987,4
1037,1973,2370,2128,1
1038,1875,2379,2007,7
1039,1962,2372,2136,1
1040,1892,2390,1996,7
1041,1897,2380,1970,7
1042,1922,2387,1967,7
1043,1902,2384,1979,7
1044,1961,2385,2094,1
1045,1900,2381,2017,7
1046,1921,2387,2052,7
1047,1921,2387,2066,7
1048,1903,2382,1984,7
1049,1913,2270,2057,4
1050,1855,2281,2007,4
1051,1914,2370,2130,7
1052,1961,2372,2115,1
1053,1967,2394,2046,7
1054,1910,2389,2030,7
1055,1876,2321,2084,4
1056,1967,2370,2109,1
1057,1942,2375,2146,7
1058,1909,2384,1973,7
1059,1957,2381,2090,1
1060,1976,2374,2126,1
1061,1927,2385,2059,7
1062,1882,2313,2031,4
1063,1913,2386,2036,3
1064,1908,2341,2035,4
1065,1977,2377,2127,1
